TUUR	ALGUS	LOPP	PAEV	SPLIT	ALATES	KUNI
11/1	11:20	20:50	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
11/1	10:15	20:50	L,P	TRUE	2026-02-11	2026-04-05
11/2	3:50	11:45	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
11/2	3:50	10:45	L,P	FALSE	2026-02-11	2026-04-05
12/1	10:35	21:45	default	TRUE	2026-02-11	2026-04-05
12/2	5:00	8:55	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
12/2	8:10	13:25	L,P	FALSE	2026-02-11	2026-04-05
13/1	14:20	0:30	default	TRUE	2026-02-11	2026-04-05
13/2	8:00	12:55	L,P	FALSE	2026-02-11	2026-04-05
15/1	10:20	23:00	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
15/1	10:15	23:00	L,P	TRUE	2026-02-11	2026-04-05
15/2	5:15	10:25	default	FALSE	2026-02-11	2026-04-05
16/1	11:00	22:50	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
16/1	12:40	22:50	L,P	TRUE	2026-02-11	2026-04-05
16/2	5:10	11:15	default	FALSE	2026-02-11	2026-04-05
17/1	12:15	23:50	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
17/1	11:20	23:50	L,P	TRUE	2026-02-11	2026-04-05
17/2	5:50	11:45	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
17/2	6:25	10:55	L,P	FALSE	2026-02-11	2026-04-05
18/1	8:00	19:00	E-N	TRUE	2026-02-11	2026-04-05
18/1	8:00	19:40	R	TRUE	2026-02-11	2026-04-05
18/2	5:05	9:35	E	FALSE	2026-02-11	2026-04-05
18/2	5:15	10:25	T-R	FALSE	2026-02-11	2026-04-05
19/1	9:40	19:50	E-N	TRUE	2026-02-11	2026-04-05
19/1	9:40	19:40	R	TRUE	2026-02-11	2026-04-05
19/2	4:30	8:45	default	FALSE	2026-02-11	2026-04-05
20/1	14:55	23:25	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
20/1	14:40	23:25	L,P	TRUE	2026-02-11	2026-04-05
20/2	5:25	9:35	E	FALSE	2026-02-11	2026-04-05
20/2	5:40	9:35	T-R	FALSE	2026-02-11	2026-04-05
21/1	13:40	0:00	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
21/1	11:40	0:00	L,P	TRUE	2026-02-11	2026-04-05
21/2	6:00	11:05	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
21/2	6:15	11:05	L,P	FALSE	2026-02-11	2026-04-05
22/1	11:40	22:05	default	TRUE	2026-02-11	2026-04-05
22/2	4:15	9:45	default	FALSE	2026-02-11	2026-04-05
24	9:40	22:05	L,P	TRUE	2026-02-11	2026-04-05
31/1	8:55	19:10	default	TRUE	2026-02-11	2026-04-05
31/2	5:20	9:15	default	FALSE	2026-02-11	2026-04-05
32/1	10:35	22:35	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
32/1	11:00	22:35	L,P	TRUE	2026-02-11	2026-04-05
32/2	6:15	10:15	default	FALSE	2026-02-11	2026-04-05
33	20:35	8:35	default	TRUE	2026-02-11	2026-04-05
34/1	11:40	19:55	default	FALSE	2026-02-11	2026-04-05
34/2	6:00	14:15	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
34/2	7:00	12:15	L,P	FALSE	2026-02-11	2026-04-05
37/1	12:35	0:05	default	TRUE	2026-02-11	2026-04-05
37/2	7:30	10:45	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
37/2	7:30	14:15	L,P	FALSE	2026-02-11	2026-04-05
38/1	11:15	0:45	default	TRUE	2026-02-11	2026-04-05
39/1	9:40	22:40	default	TRUE	2026-02-11	2026-04-05
39/2	5:35	10:15	default	FALSE	2026-02-11	2026-04-05
40/1	9:20	21:20	default	TRUE	2026-02-11	2026-04-05
40/2	7:00	17:25	default	FALSE	2026-02-11	2026-04-05
41/2	4:40	13:25	default	FALSE	2026-02-11	2026-04-05
42/1	11:35	23:15	default	TRUE	2026-02-11	2026-04-05
42/2	5:30	12:15	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
50/1	10:55	22:30	default	TRUE	2026-02-11	2026-04-05
50/2	5:25	10:55	default	FALSE	2026-02-11	2026-04-05
52/1	11:00	19:35	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
52/1	9:20	19:35	L,P	FALSE	2026-02-11	2026-04-05
52/2	4:15	12:35	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
52/2	4:30	8:45	L,P	FALSE	2026-02-11	2026-04-05
54/1	11:55	0:45	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
54/1	12:15	0:45	L,P	TRUE	2026-02-11	2026-04-05
54/2	7:00	12:55	default	FALSE	2026-02-11	2026-04-05
56/1	12:00	22:40	default	TRUE	2026-02-11	2026-04-05
56/2	5:00	13:05	default	FALSE	2026-02-11	2026-04-05
57/1	9:00	20:35	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
57/1	13:20	20:35	L,P	TRUE	2026-02-11	2026-04-05
57/2	4:00	9:55	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
57/2	6:30	12:25	L,P	FALSE	2026-02-11	2026-04-05
58/1	11:35	23:30	default	TRUE	2026-02-11	2026-04-05
58/2	5:30	11:55	default	FALSE	2026-02-11	2026-04-05
59/1	11:35	0:25	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
59/1	11:15	0:15	L,P	TRUE	2026-02-11	2026-04-05
59/2	6:25	12:15	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
59/2	6:20	12:15	L,P	FALSE	2026-02-11	2026-04-05
60/1	11:30	0:00	default	TRUE	2026-02-11	2026-04-05
60/2	10:50	23:20	default	TRUE	2026-02-11	2026-04-05
61/1	5:40	19:00	E, T, K, N, R	TRUE	2026-02-11	2026-04-05
61/1	8:10	19:00	L,P	TRUE	2026-02-11	2026-04-05
61/2	5:20	9:00	E, T, K, N, R	FALSE	2026-02-11	2026-04-05
61/2	6:30	9:10	L,P	FALSE	2026-02-11	2026-04-05
62/1	12:30	20:50	default	TRUE	2026-02-11	2026-04-05
62/2	5:05	11:30	default	FALSE	2026-02-11	2026-04-05
63/1	9:00	22:40	default	TRUE	2026-02-11	2026-04-05
63/2	5:05	9:45	default	FALSE	2026-02-11	2026-04-05
67	4:45	14:20	default	FALSE	2026-02-11	2026-04-05
11/1	9:15	18:35	E, T, K, N, R	TRUE	2026-04-06	2026-06-14
11/1	8:00	18:35	L,P	TRUE	2026-04-06	2026-06-14
11/2	4:15	8:55	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
11/2	4:15	10:45	L,P	FALSE	2026-04-06	2026-06-14
12/1	9:00	19:10	E, T, K, N, R	TRUE	2026-04-06	2026-06-14
12/1	9:15	19:10	L,P	TRUE	2026-04-06	2026-06-14
12/2	5:05	11:05	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
12/2	6:05	12:25	L,P	FALSE	2026-04-06	2026-06-14
13/1	10:35	23:05	E, T, K, N, R	TRUE	2026-04-06	2026-06-14
13/1	11:15	23:05	L,P	TRUE	2026-04-06	2026-06-14
13/2	6:05	12:45	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
13/2	9:00	15:05	L,P	FALSE	2026-04-06	2026-06-14
15/1	15:00	23:00	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
15/1	11:00	23:00	L,P	FALSE	2026-04-06	2026-06-14
15/2	5:15	9:35	E	FALSE	2026-04-06	2026-06-14
15/2	5:50	9:35	T-R	FALSE	2026-04-06	2026-06-14
15/2	5:15	9:35	L,P	FALSE	2026-04-06	2026-06-14
16/1	15:40	22:50	E, T, K, N, R	TRUE	2026-04-06	2026-06-14
16/1	10:55	22:50	L,P	TRUE	2026-04-06	2026-06-14
16/2	5:10	11:15	default	FALSE	2026-04-06	2026-06-14
17/1	14:20	23:50	default	TRUE	2026-04-06	2026-06-14
17/2	5:50	10:55	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
17/2	6:25	11:45	L,P	FALSE	2026-04-06	2026-06-14
18/1	8:00	19:00	E-N	TRUE	2026-04-06	2026-06-14
18/1	8:00	19:40	R	TRUE	2026-04-06	2026-06-14
18/2	5:05	9:35	E	FALSE	2026-04-06	2026-06-14
18/2	5:15	9:35	T-R	FALSE	2026-04-06	2026-06-14
19/1	8:55	19:50	E-N	TRUE	2026-04-06	2026-06-14
19/1	8:55	19:40	R	TRUE	2026-04-06	2026-06-14
19/1	10:00	20:45	L,P	TRUE	2026-04-06	2026-06-14
19/2	4:30	8:45	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
20/1	12:00	23:25	E, T, K, N, R	TRUE	2026-04-06	2026-06-14
20/1	14:15	23:25	L,P	TRUE	2026-04-06	2026-06-14
20/2	5:25	9:35	E	FALSE	2026-04-06	2026-06-14
20/2	5:40	9:35	T-R	FALSE	2026-04-06	2026-06-14
21/1	12:55	0:00	E, T, K, N, R	TRUE	2026-04-06	2026-06-14
21/1	11:40	0:00	L,P	TRUE	2026-04-06	2026-06-14
21/2	6:00	9:55	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
22/1	9:15	20:45	E, T, K, N, R	TRUE	2026-04-06	2026-06-14
22/2	4:15	8:35	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
31/1	9:40	20:00	default	TRUE	2026-04-06	2026-06-14
31/2	5:20	9:15	default	FALSE	2026-04-06	2026-06-14
32/2	6:15	10:15	default	FALSE	2026-04-06	2026-06-14
33	20:35	8:35	default	TRUE	2026-04-06	2026-06-14
34/1	9:20	22:55	default	TRUE	2026-04-06	2026-06-14
34/2	6:00	8:35	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
34/2	7:00	12:15	L,P	FALSE	2026-04-06	2026-06-14
35/1	12:00	19:55	default	FALSE	2026-04-06	2026-06-14
35/2	5:05	7:35	default	FALSE	2026-04-06	2026-06-14
36/1	11:35	20:50	default	TRUE	2026-04-06	2026-06-14
36/2	5:05	8:45	default	FALSE	2026-04-06	2026-06-14
37/1	11:50	0:05	default	TRUE	2026-04-06	2026-06-14
37/2	7:30	10:35	default	FALSE	2026-04-06	2026-06-14
38/1	8:20	20:50	default	TRUE	2026-04-06	2026-06-14
38/2	8:45	15:45	default	FALSE	2026-04-06	2026-06-14
38/2	4:45	14:15	E, T, K, N, R	FALSE	2026-04-06	2026-06-14
38/2	4:45	14:15	L,P	FALSE	2026-04-06	2026-06-14
39/1	8:55	19:40	default	TRUE	2026-04-06	2026-06-14
39/2	5:20	10:15	default	FALSE	2026-04-06	2026-06-14
40/1	12:45	21:20	default	TRUE	2026-04-06	2026-06-14
40/2	6:50	17:05	default	FALSE	2026-04-06	2026-06-14
